,acc,auc
LogisticRegression (scratch),0.5154008438818566,0.513759501798453
"MLP (scratch, backprop)",0.5109282700421941,0.5003948190596874
LightGBM-GPU (baseline),0.5163291139240507,0.5002329432808615
